"country","age_group","n","matrix","iso3c"
"South Africa","0-4",5764945,12,"ZAF"
"South Africa","5-9",5820660,12,"ZAF"
"South Africa","10-14",5495963,12,"ZAF"
"South Africa","15-19",4913211,12,"ZAF"
"South Africa","20-24",4924091,12,"ZAF"
"South Africa","25-29",5217398,12,"ZAF"
"South Africa","30-34",5374110,12,"ZAF"
"South Africa","35-39",4781215,12,"ZAF"
"South Africa","40-44",3810040,12,"ZAF"
"South Africa","45-49",3233235,12,"ZAF"
"South Africa","50-54",2692132,12,"ZAF"
"South Africa","55-59",2219400,12,"ZAF"
"South Africa","60-64",1794715,12,"ZAF"
"South Africa","65-69",1369726,12,"ZAF"
"South Africa","70-74",895217,12,"ZAF"
"South Africa","75-79",580838,12,"ZAF"
"South Africa","80+",421794,12,"ZAF"
